variant,arm,exploitability,gap,iterations,lower,score_seconds,training_seconds,upper,value
checkback,cfr_g4,0.09366553863883387,0.18733107727766773,16,-1.4032061325621714,0.004951199982315302,0.05516579997492954,-1.2158750552845037,-1.3759513076238254
checkback,cfr_g4,0.010213294737954848,0.020426589475909696,64,-1.3607590805722833,0.00499149999814108,0.21790589997544885,-1.3403324910963736,-1.352447322473633
checkback,cfr_g4,0.0017948453924323537,0.0035896907848647075,256,-1.3503958425515448,0.005095299973618239,0.8778045999933966,-1.34680615176668,-1.3487411257852964
checkback,cfr_g4,0.00026284970155177056,0.0005256994031035411,1024,-1.348754296007121,0.00582859996939078,3.598885199986398,-1.3482285966040175,-1.3484911671827982
checkback,cfr_g4,9.238940611211444e-05,0.00018477881222422887,2048,-1.348561511385796,0.005295999988447875,7.438446699990891,-1.3483767325735718,-1.348466792523423
checkback,dcfr_paper,0.055357601475277685,0.11071520295055537,16,-1.410704037483384,0.004968199995346367,0.054565400001592934,-1.2999888345328285,-1.3650704700605836
checkback,dcfr_paper,0.0049480828524162135,0.009896165704832427,64,-1.3540905306102258,0.006371400028001517,0.21715980005683377,-1.3441943649053933,-1.34964516036824
checkback,dcfr_paper,0.0006740559123857848,0.0013481118247715695,256,-1.3492138824476017,0.00491900002816692,0.8654779000207782,-1.34786577062283,-1.3484833183132128
checkback,dcfr_paper,6.986745635328973e-05,0.00013973491270657945,1024,-1.3485285055696297,0.005092700012028217,3.5934857000247575,-1.348388770656923,-1.3484620164398233
checkback,dcfr_paper,1.6042929684267904e-05,3.208585936853581e-05,2048,-1.3484693312754104,0.005391700018662959,7.415521499991883,-1.3484372454160418,-1.3484517484022285
checkback,pdcfr_matched,0.16526885206584885,0.3305377041316977,16,-1.5319152007192118,0.004770300001837313,0.056320999981835485,-1.2013774965875141,-1.4192005688417524
checkback,pdcfr_matched,0.01695013372287668,0.03390026744575336,64,-1.3690878362953738,0.005194799974560738,0.2337540999869816,-1.3351875688496204,-1.3557281022626069
checkback,pdcfr_matched,0.0025242926433528545,0.005048585286705709,256,-1.351030564950666,0.0048726999666541815,0.8877085999702103,-1.3459819796639603,-1.348494854950943
checkback,pdcfr_matched,0.0002872989650789526,0.0005745979301579052,1024,-1.3487862112085565,0.005348400038201362,3.597905999980867,-1.3482116132783986,-1.3484873364441539
checkback,pdcfr_matched,0.00011748785366105796,0.00023497570732211592,2048,-1.34858124460288,0.005036599992308766,7.390695099951699,-1.3483462688955579,-1.3484768589849851
checkback,dcfr_code,0.06044071745016866,0.12088143490033731,16,-1.4167142652921347,0.005373499996494502,0.05870540003525093,-1.2958328303917974,-1.362178701338434
checkback,dcfr_code,0.004891874420307141,0.009783748840614281,64,-1.3543845779363939,0.005319799995049834,0.23181380005553365,-1.3446008290957796,-1.3494293414444027
checkback,dcfr_code,0.0004736083344447639,0.0009472166688895278,256,-1.3490465045241424,0.005392500024754554,0.9170357000548393,-1.348099287855253,-1.3484698718303973
checkback,dcfr_code,4.347640667323738e-05,8.695281334647476e-05,1024,-1.3484974495918718,0.006563800037838519,3.737130400026217,-1.3484104967785253,-1.34845701659435
checkback,dcfr_code,1.3479594298093645e-05,2.695918859618729e-05,2048,-1.348468570719874,0.005556399992201477,7.875170800019987,-1.3484416115312778,-1.348451727624429
raise,cfr_g4,0.5191547104713573,1.0383094209427146,16,-1.8949744265809052,0.01004540000576526,0.10972200002288446,-0.8566650056381906,-1.57206489758361
raise,cfr_g4,0.0631236255039398,0.1262472510078796,64,-1.4279683390994689,0.010606599971652031,0.4434182000113651,-1.3017210880915893,-1.374074139050451
raise,cfr_g4,0.010019541979043534,0.020039083958087067,256,-1.367984567537517,0.01023790001636371,1.7460718000074849,-1.34794548357943,-1.3580222059487865
raise,cfr_g4,0.0013129458168216201,0.0026258916336432403,1024,-1.356245677653291,0.011447800032328814,7.380550800007768,-1.3536197860196477,-1.3548309722571787
raise,cfr_g4,0.0004813761837921815,0.000962752367584363,2048,-1.35519058608734,0.010934999969322234,15.042647199996281,-1.3542278337197557,-1.3545947109417231
raise,dcfr_paper,0.644680836089687,1.289361672179374,16,-2.0702592530019563,0.009995199972763658,0.1106409000349231,-0.7808975808225823,-1.382331431942038
raise,dcfr_paper,0.052592578481031715,0.10518515696206343,64,-1.4177246240992745,0.010152800008654594,0.43685669999103993,-1.312539467137211,-1.3658485572765782
raise,dcfr_paper,0.004457790972944742,0.008915581945889484,256,-1.3599125246695585,0.010557600005995482,1.7451566999661736,-1.350996942723669,-1.3557558650060892
raise,dcfr_paper,0.0005314616265496008,0.0010629232530992017,1024,-1.3552233498297306,0.010114100005012006,7.282238099956885,-1.3541604265766314,-1.3546486161121278
raise,dcfr_paper,0.0001906558887870835,0.000381311777574167,2048,-1.3548258667487698,0.011597000004258007,14.803808099939488,-1.3544445549711956,-1.35458675774189
raise,pdcfr_matched,0.6111505455863129,1.2223010911726258,16,-1.9973671220843408,0.01028089999454096,0.11044279998168349,-0.7750660309117149,-1.480077741990129
raise,pdcfr_matched,0.10903517744048963,0.21807035488097926,64,-1.474392736246923,0.009909500018693507,0.4352620999561623,-1.2563223813659437,-1.382957178375964
raise,pdcfr_matched,0.014867164655936183,0.029734329311872365,256,-1.3740458245690963,0.01043640001444146,1.7402242999523878,-1.344311495257224,-1.358987443537093
raise,pdcfr_matched,0.00199098716629742,0.00398197433259484,1024,-1.3572358017868116,0.011505500006023794,7.529719199985266,-1.3532538274542167,-1.354813616327821
raise,pdcfr_matched,0.0006482997487182729,0.0012965994974365458,2048,-1.3553496197168635,0.010927200026344508,16.254664699954446,-1.354053020219427,-1.354611584685963
raise,dcfr_code,0.6707669086450406,1.3415338172900813,16,-2.0700593233854487,0.01018899999326095,0.1105731000425294,-0.7285255060953675,-1.4534484360894264
raise,dcfr_code,0.04131516534840918,0.08263033069681835,64,-1.4102985454869392,0.010479200049303472,0.4415341000421904,-1.3276682147901209,-1.3625654748231917
raise,dcfr_code,0.003141456652797414,0.006282913305594828,256,-1.358545906059745,0.009775299986358732,1.7465433000470512,-1.35226299275415,-1.3552473142761374
raise,dcfr_code,0.00031489286755448376,0.0006297857351089675,1024,-1.3549832762675342,0.010940199950709939,7.33791540004313,-1.3543534905324253,-1.3546104598088462
raise,dcfr_code,0.00013207718032592908,0.00026415436065185816,2048,-1.3547508706159372,0.01082749996567145,14.872216400050092,-1.3544867162552854,-1.35457813006871
