arm,exploitability,gap,iterations,lower,score_seconds,training_seconds,upper,value
cfr_g4,0.0008880345870668771,0.0017760691741337542,16,0.9202044068644066,0.0012937000137753785,0.01514360000146553,0.9219804760385404,0.9202962079034493
cfr_g4,9.553107747961587e-05,0.00019106215495923173,64,0.9217891309794337,0.001247400010470301,0.05991050001466647,0.921980193134393,0.9218313416540578
cfr_g4,1.8306914923438278e-05,3.6613829846876556e-05,256,0.9218968805368187,0.0013162000104784966,0.22764709999319166,0.9219334943666656,0.9219027895939129
cfr_g4,1.594324769260691e-06,3.188649538521382e-06,1024,0.9219257374492871,0.001285900012589991,0.8988505000015721,0.9219289260988256,0.9219258837497452
cfr_g4,3.953065591533189e-07,7.906131183066378e-07,2048,0.9219274269767299,0.0012268000282347202,1.7974438999663107,0.9219282175898482,0.9219275928752666
dcfr_paper,0.0003084566244121456,0.0006169132488242912,16,0.9214014593660709,0.001215500000398606,0.014661299996078014,0.9220183726148952,0.9215582010251107
dcfr_paper,4.9970665138343584e-05,9.994133027668717e-05,64,0.9218453330429166,0.00119420001283288,0.054521000012755394,0.9219452743731933,0.9218790578478754
dcfr_paper,2.46185861152437e-06,4.92371722304874e-06,256,0.9219235051496755,0.0013443000498227775,0.21067380002932623,0.9219284288668985,0.9219252790025863
dcfr_paper,1.124161497223497e-07,2.248322994446994e-07,1024,0.921927600854333,0.0012533999979496002,0.8598486999981105,0.9219278256866325,0.921927738753255
dcfr_paper,6.028790178191912e-08,1.2057580356383824e-07,2048,0.9219276935683998,0.0011261000181548297,1.7082827999838628,0.9219278141442033,0.9219277466840912
pdcfr_matched,0.0015511444365909344,0.0031022888731818687,16,0.9194337591497801,0.0012808000319637358,0.015203199989628047,0.922536048022962,0.9199299948784825
pdcfr_matched,0.00011937562436592497,0.00023875124873184994,64,0.9217631286630736,0.0012734000338241458,0.058748999959789217,0.9220018799118055,0.921838225692057
pdcfr_matched,1.1157629218772058e-05,2.2315258437544117e-05,256,0.9219099966486906,0.0012414000229910016,0.22761209995951504,0.9219323119071281,0.9219124228579677
pdcfr_matched,1.1978037697812915e-06,2.395607539562583e-06,1024,0.9219268000334176,0.0012827999889850616,0.9023605999536812,0.9219291956409572,0.9219270359149687
pdcfr_matched,5.372128203395832e-08,1.0744256406791663e-07,2048,0.9219277080766605,0.0012111999676562846,1.8004410999710672,0.9219278155192245,0.9219277244149078
cfr_linear,0.011253051005013726,0.02250610201002745,16,0.9100521603794596,0.001483700005337596,0.015563699998892844,0.932558262389487,0.9212168124309844
cfr_linear,0.0008184439917319764,0.0016368879834639527,64,0.9210011763433674,0.0012454999960027635,0.058079799986444414,0.9226380643268314,0.921711524064253
cfr_linear,6.887111446629568e-05,0.00013774222893259136,256,0.9218377077166158,0.0012701000086963177,0.22477899998193607,0.9219754499455484,0.9218835715424425
cfr_linear,6.011006073003422e-06,1.2022012146006844e-05,1024,0.9219194979324475,0.0012818999821320176,0.8993786999490112,0.9219315199445935,0.9219223389543301
cfr_linear,1.8800930065565602e-06,3.7601860131131204e-06,2048,0.9219254679970461,0.0012990999966859818,1.785457099962514,0.9219292281830592,0.9219262153211925
dcfr_code,0.0003460484907459871,0.0006920969814919742,16,0.9213172353044726,0.0011636000126600266,0.014727999980095774,0.9220093322859646,0.9215140352887377
dcfr_code,7.686355246333543e-05,0.00015372710492667085,64,0.9218213624796111,0.001249500026460737,0.05621379998046905,0.9219750895845378,0.9218699265656896
dcfr_code,1.5612636192763318e-06,3.1225272385526637e-06,256,0.9219253524507309,0.0012354999780654907,0.22433599998475984,0.9219284749779695,0.921925777740985
dcfr_code,8.005183771420121e-08,1.6010367542840243e-07,1024,0.9219276212953162,0.0011992999934591353,0.8671685999725014,0.9219277813989917,0.921927743279683
dcfr_code,4.5111580693202313e-08,9.022316138640463e-08,2048,0.9219276646465964,0.0012669999850913882,1.7258152999565937,0.9219277548697578,0.9219277468247176
pdcfr_published,0.0015803397839998512,0.0031606795679997024,16,0.9191746272518035,0.0013696000096388161,0.015524499991443008,0.9223353068198032,0.9200786258809087
pdcfr_published,0.00016209396174443613,0.00032418792348887226,64,0.9216887614280226,0.0011680999887175858,0.0568459999631159,0.9220129493515115,0.9218176341181203
pdcfr_published,3.7300508385351705e-05,7.460101677070341e-05,256,0.9218615758552641,0.001151599979493767,0.2174704999779351,0.9219361768720348,0.9218970196034904
pdcfr_published,3.6144266303272943e-06,7.2288532606545886e-06,1024,0.9219239711709398,0.0012601000489667058,0.8611851999303326,0.9219312000242005,0.9219253433233054
pdcfr_published,1.579320025757447e-06,3.158640051514894e-06,2048,0.9219263497120855,0.0012330000172369182,1.717799499980174,0.921929508352137,0.9219272854724798
