iteration,infosets,index_cap,index_full,avg_pos_regret,below_thresh_frac,pruned_actions,pruned_trav_frac,dropped_full,gated,churn_frac,time
15400,278626,8388608,0,492.2404797230222,0.0,0,0.0,0,1990376,,1788920598.7332244
30800,564467,8388608,0,433.4115794653936,0.0,56,0.00030303030303030303,0,3741882,0.06692,1788920720.1570814
46200,862110,8388608,0,534.0738396716329,3.344884333899734e-06,348,0.0012554112554112554,0,5475566,0.05808,1788920842.5736983
61800,1173148,8388608,0,523.1325893224881,1.2358059957599496e-06,1788,0.004805825242718447,0,7212008,0.05209,1788920964.5874255
76400,1475868,8388608,0,585.5957028021345,8.62199144846254e-06,3728,0.008043193717277486,0,8817200,0.04502,1788921080.478756
