board,hand,meets_frozen_gap_threshold,bettor_seat,caller_seat,bettor_range_before_collision,caller_range_before_collision,bettor_joint_marginal,caller_joint_marginal,bettor_group,caller_group,full_check,compressed_check,full_bet_45,compressed_bet_45,full_call_facing_45,compressed_call_facing_45
Kh 4h 6h Qc Ac,3c Th,0,1,3,0.0010637240212944875,9.992425741288106e-07,0.0010473777762718137,9.970771422485972e-07,6,11,1.0,0.9999176006029368,0.0,8.239939706325524e-05,1.0,0.11652322995435994
Kh 4h 6h Qc Ac,3c Ts,0,1,3,0.0010637240212944875,9.992425741288106e-07,0.0010502220420950173,9.973766512454749e-07,6,11,1.0,0.9999176006029368,0.0,8.239939706325524e-05,1.0,0.11652322995435994
Kh 4h 6h Qc Ac,3c Jc,0,1,3,0.0010637240212944875,9.992425741288106e-07,0.0010641429496539528,9.91321060916137e-07,13,2,1.0,0.9999117191871583,0.0,8.828081284170859e-05,1.0,0.421263202038205
Kh 4h 6h Qc Ac,3c Jd,0,1,3,0.0010637240212944875,9.992425741288106e-07,0.0010582813022935113,9.943114516391707e-07,13,2,1.0,0.9999117191871583,0.0,8.828081284170859e-05,1.0,0.421263202038205
Kh 4h 6h Qc Ac,3c Jh,0,1,3,0.0010637240212944875,9.992425741288106e-07,0.0010622879930595557,9.931508748300226e-07,13,2,1.0,0.9999117191871583,0.0,8.828081284170859e-05,1.0,0.421263202038205
Kh 4h 6h Qc Ac,3c Js,0,1,3,0.0010637240212944875,9.992425741288106e-07,0.0010582813022935113,9.943114516391707e-07,13,2,1.0,0.9999117191871583,0.0,8.828081284170859e-05,1.0,0.421263202038205
Kh 4h 6h Qc Ac,3c Qd,0,1,3,0.0010637240212944875,0.0013889889926451315,0.0010546212151520645,0.0013800879155233567,12,12,1.0,0.9999339325891439,0.0,6.606741085611172e-05,1.0,0.99999
Kh 4h 6h Qc Ac,3c Qh,0,1,3,0.0010637240212944875,0.0013889889926451315,0.0010539092762675843,0.0013802725667584855,12,12,1.0,0.9999339325891439,0.0,6.606741085611172e-05,1.0,0.99999
Kh 4h 6h Qc Ac,3c Qs,0,1,3,0.0010637240212944875,0.0013889889926451315,0.0010546212151520645,0.0013800879155233567,12,12,1.0,0.9999339325891439,0.0,6.606741085611172e-05,1.0,0.99999
Kh 4h 6h Qc Ac,3c Kc,0,1,3,9.998410252769808e-07,9.992425741288106e-07,9.794745478995625e-07,9.987851234541073e-07,5,0,1.0,0.7095180472568701,0.0,0.29048195274313,1.0,0.99999
Kh 4h 6h Qc Ac,3c Kd,0,1,3,0.0010637240212944875,0.0021402195307136693,0.001043460525251135,0.0021417255156711617,5,0,1.0,0.7095180472568701,0.0,0.29048195274313,1.0,0.99999
Kh 4h 6h Qc Ac,3c Ks,0,1,3,0.0010637240212944875,0.0021402195307136693,0.001043460525251135,0.002141725515671162,5,0,1.0,0.7095180472568701,0.0,0.29048195274313,1.0,0.99999
Kh 4h 6h Qc Ac,3c Ad,0,1,3,0.0010637240212944875,0.0018594257885262676,0.0009982612151806327,0.001858128933487685,4,8,0.0,1e-05,1.0,0.99999,1.0,0.99999
Kh 4h 6h Qc Ac,3c Ah,0,1,3,0.0010637240212944875,0.0018594257885262676,0.0010051167639709905,0.0018575837058925511,4,8,0.0,1e-05,1.0,0.99999,1.0,0.99999
Kh 4h 6h Qc Ac,3c As,0,1,3,0.0010637240212944875,0.0018594257885262676,0.0009982612151806327,0.0018581289334876848,4,8,0.0,1e-05,1.0,0.99999,1.0,0.99999
Kh 4h 6h Qc Ac,3d 3h,0,1,3,9.998410252769808e-07,0.008648879617791327,9.860652715715087e-07,0.00863787427779702,3,2,1.0,0.9999386731163625,0.0,6.132688363751407e-05,0.06198788778706901,0.421263202038205
Kh 4h 6h Qc Ac,3d 3s,0,1,3,9.998410252769808e-07,0.008648879617791327,9.884028643549618e-07,0.008647919575474889,3,2,1.0,0.9999386731163625,0.0,6.132688363751407e-05,1.0,0.421263202038205
Kh 4h 6h Qc Ac,3d 4c,0,1,3,0.0010637240212944875,9.992425741288106e-07,0.0010645412207384562,1.0060911185686591e-06,3,14,1.0,0.9999386731163625,0.0,6.132688363751407e-05,1.0,0.0009125883486175955
Kh 4h 6h Qc Ac,3d 4d,0,1,3,0.0010637240212944875,9.992425741288106e-07,0.0010594802999927223,1.0063841201119363e-06,3,14,1.0,0.9999386731163625,0.0,6.132688363751407e-05,1.0,0.0009125883486175955
