board,hand,meets_frozen_gap_threshold,bettor_seat,caller_seat,bettor_range_before_collision,caller_range_before_collision,bettor_joint_marginal,caller_joint_marginal,bettor_group,caller_group,full_check,compressed_check,full_bet_14,compressed_bet_14,full_call_facing_14,compressed_call_facing_14,full_bet_29,compressed_bet_29,full_call_facing_29,compressed_call_facing_29
9d 2d Kc Tc 4c,2c 6d,0,1,5,0.001244444970306037,9.99230592443818e-07,0.0012258250897972018,9.84895347984038e-07,0,11,1.0,0.9999791841119858,0.0,1.4149221347486966e-05,1.0,0.5363217403203392,0.0,6.666666666666667e-06,1.0,0.2005953564504219
9d 2d Kc Tc 4c,2c 6h,0,1,5,0.001244444970306037,9.99230592443818e-07,0.0012258250897972016,9.832217932046516e-07,0,11,1.0,0.9999791841119858,0.0,1.4149221347486966e-05,1.0,0.5363217403203392,0.0,6.666666666666667e-06,1.0,0.2005953564504219
9d 2d Kc Tc 4c,2c 6s,0,1,5,0.001244444970306037,9.99230592443818e-07,0.0012258250897972018,9.832217932046516e-07,0,11,1.0,0.9999791841119858,0.0,1.4149221347486966e-05,1.0,0.5363217403203392,0.0,6.666666666666667e-06,1.0,0.2005953564504219
9d 2d Kc Tc 4c,2c 7c,0,1,5,0.001244444970306037,9.99230592443818e-07,0.0012670811039670066,9.743817067607818e-07,5,1,0.0,6.666666666666667e-06,0.0,2.0306094220789084e-05,1.0,0.99999,1.0,0.9999730272391125,1.0,0.99999
9d 2d Kc Tc 4c,2c 7d,0,1,5,0.0031111124257650925,9.99230592443818e-07,0.0031782222685371297,9.82947578433774e-07,0,11,1.0,0.9999791841119858,0.0,1.4149221347486966e-05,1.0,0.5363217403203392,0.0,6.666666666666667e-06,1.0,0.2005953564504219
9d 2d Kc Tc 4c,2c 7h,0,1,5,0.0031111124257650925,9.99230592443818e-07,0.0031842876000601344,9.831388134639767e-07,0,11,1.0,0.9999791841119858,0.0,1.4149221347486966e-05,1.0,0.5363217403203392,0.0,6.666666666666667e-06,1.0,0.2005953564504219
9d 2d Kc Tc 4c,2c 7s,0,1,5,0.0031111124257650925,9.99230592443818e-07,0.0031842876000601344,9.831388134639767e-07,0,11,1.0,0.9999791841119858,0.0,1.4149221347486966e-05,1.0,0.5363217403203392,0.0,6.666666666666667e-06,1.0,0.2005953564504219
9d 2d Kc Tc 4c,2c 8c,0,1,5,0.001244444970306037,9.99230592443818e-07,0.0012767687369690402,9.779655829037055e-07,5,1,0.0,6.666666666666667e-06,0.0,2.0306094220789084e-05,1.0,0.99999,1.0,0.9999730272391125,1.0,0.99999
9d 2d Kc Tc 4c,2c 8d,0,1,5,0.001244444970306037,9.99230592443818e-07,0.0012679103606577581,9.663917172478216e-07,0,6,1.0,0.9999791841119858,0.0,1.4149221347486966e-05,1.0,0.9985282232013408,0.0,6.666666666666667e-06,1.0,0.9923454624934344
9d 2d Kc Tc 4c,2c 8h,0,1,5,0.001244444970306037,9.99230592443818e-07,0.0012679103606577583,9.650681924612303e-07,0,6,1.0,0.9999791841119858,0.0,1.4149221347486966e-05,1.0,0.9985282232013408,0.0,6.666666666666667e-06,1.0,0.9923454624934344
9d 2d Kc Tc 4c,2c 8s,0,1,5,0.001244444970306037,9.99230592443818e-07,0.0012679103606577581,9.650681924612303e-07,0,6,1.0,0.9999791841119858,0.0,1.4149221347486966e-05,1.0,0.9985282232013408,0.0,6.666666666666667e-06,1.0,0.9923454624934344
9d 2d Kc Tc 4c,2c 9c,0,1,5,0.001244444970306037,9.99230592443818e-07,0.0012198803235687486,9.886828234144573e-07,5,1,0.0,6.666666666666667e-06,0.0,2.0306094220789084e-05,1.0,0.99999,1.0,0.9999730272391125,1.0,0.99999
9d 2d Kc Tc 4c,2c 9h,0,1,5,0.0015807594746753359,9.99230592443818e-07,0.0015718966766439097,9.920880527752825e-07,1,1,0.0,6.666666666666667e-06,1.0,0.9998450831764386,1.0,0.99999,0.0,0.0001482501568947111,1.0,0.99999
9d 2d Kc Tc 4c,2c 9s,0,1,5,0.0015807594746753359,9.99230592443818e-07,0.0015718966766439099,9.920880527752825e-07,1,1,0.0,6.666666666666667e-06,1.0,0.9998450831764386,1.0,0.99999,0.0,0.0001482501568947111,1.0,0.99999
9d 2d Kc Tc 4c,2c Td,0,1,5,0.00020740749505100613,9.99230592443818e-07,0.00020960414756808704,9.83696106049255e-07,10,1,0.0,6.666666666666667e-06,1.0,0.9989392906548963,1.0,0.99999,0.0,0.0010540426784370587,1.0,0.99999
9d 2d Kc Tc 4c,2c Th,0,1,5,0.001244444970306037,9.99230592443818e-07,0.0012576248854085227,9.920025700247236e-07,10,1,0.0,6.666666666666667e-06,1.0,0.9989392906548963,1.0,0.99999,0.0,0.0010540426784370587,1.0,0.99999
9d 2d Kc Tc 4c,2c Ts,0,1,5,0.001244444970306037,9.99230592443818e-07,0.0012576248854085227,9.920025700247236e-07,10,1,0.0,6.666666666666667e-06,1.0,0.9989392906548963,1.0,0.99999,0.0,0.0010540426784370587,1.0,0.99999
9d 2d Kc Tc 4c,2c Jc,0,1,5,0.001244444970306037,9.99230592443818e-07,0.0012442955615797823,9.85220506514612e-07,5,1,0.0,6.666666666666667e-06,0.0,2.0306094220789084e-05,1.0,0.99999,1.0,0.9999730272391125,1.0,0.99999
9d 2d Kc Tc 4c,2c Jd,0,1,5,0.001244444970306037,0.00596624041874077,0.001251986557809781,0.005925448189853086,0,11,1.0,0.9999791841119858,0.0,1.4149221347486966e-05,1.0,0.5363217403203392,0.0,6.666666666666667e-06,1.0,0.2005953564504219
9d 2d Kc Tc 4c,2c Jh,0,1,5,0.001244444970306037,0.00596624041874077,0.001260070673474938,0.005976401372187966,0,11,1.0,0.9999791841119858,0.0,1.4149221347486966e-05,1.0,0.5363217403203392,0.0,6.666666666666667e-06,1.0,0.2005953564504219
9d 2d Kc Tc 4c,2c Js,0,1,5,0.001244444970306037,0.00596624041874077,0.001260070673474938,0.005976401372187966,0,11,1.0,0.9999791841119858,0.0,1.4149221347486966e-05,1.0,0.5363217403203392,0.0,6.666666666666667e-06,1.0,0.2005953564504219
