board,hand,meets_frozen_gap_threshold,bettor_seat,caller_seat,bettor_range_before_collision,caller_range_before_collision,bettor_joint_marginal,caller_joint_marginal,bettor_group,caller_group,full_check,compressed_check,full_bet_44,compressed_bet_44,full_call_facing_44,compressed_call_facing_44
7c 2h Kh 2s 9s,2c 2d,1,0,1,0.0013639423029593143,0.0010801489255863374,0.0013866419384747464,0.0010683289994437052,1,4,0.0,1e-05,1.0,0.99999,1.0,0.99999
7c 2h Kh 2s 9s,2c 3c,1,0,1,0.0010917611622158292,0.0010801489255863376,0.001103485929611712,0.00106883822766654,1,4,0.0,1e-05,1.0,0.99999,1.0,0.99999
7c 2h Kh 2s 9s,2c 3d,1,0,1,9.997480634880012e-07,0.0010801489255863376,1.0104846732013292e-06,0.0010695090151745152,1,4,0.0,1e-05,1.0,0.99999,1.0,0.99999
7c 2h Kh 2s 9s,2c 3h,1,0,1,9.997480634880012e-07,0.0010801489255863376,1.0104846732013292e-06,0.0010701249822921194,1,4,0.0,1e-05,1.0,0.99999,1.0,0.99999
7c 2h Kh 2s 9s,2c 3s,1,0,1,9.997480634880012e-07,0.0010801489255863376,1.0093063773591282e-06,0.0010702642954119271,1,4,0.0,1e-05,1.0,0.99999,1.0,0.99999
7c 2h Kh 2s 9s,2c 4c,1,0,1,0.0010917611622158292,0.0010801489255863374,0.0010983389623502708,0.0010960213543282425,1,4,0.0,1e-05,1.0,0.99999,1.0,0.99999
7c 2h Kh 2s 9s,2c 4d,1,0,1,0.0021311188806083714,0.0010801489255863374,0.0021439587530498174,0.0010978837927607412,1,4,0.0,1e-05,1.0,0.99999,1.0,0.99999
7c 2h Kh 2s 9s,2c 4h,1,0,1,0.0021311188806083714,0.0010801489255863374,0.0021414470317392543,0.0010963491920770421,1,4,0.0,1e-05,1.0,0.99999,1.0,0.99999
7c 2h Kh 2s 9s,2c 4s,1,0,1,0.0021311188806083714,0.0010801489255863374,0.0021439587530498174,0.0010979444329176377,1,4,0.0,1e-05,1.0,0.99999,1.0,0.99999
7c 2h Kh 2s 9s,2c 5c,1,0,1,0.0010917611622158292,0.0010801489255863374,0.001097988987440351,0.0010829159999139189,1,4,0.0,1e-05,1.0,0.99999,1.0,0.99999
7c 2h Kh 2s 9s,2c 5d,1,0,1,0.0011880410812785428,0.0010801489255863374,0.001194818124161015,0.001081412768516265,1,4,0.0,1e-05,1.0,0.99999,1.0,0.99999
7c 2h Kh 2s 9s,2c 5h,1,0,1,0.0011880410812785428,0.0010801489255863374,0.001194818124161015,0.0010807107351760536,1,4,0.0,1e-05,1.0,0.99999,1.0,0.99999
7c 2h Kh 2s 9s,2c 5s,1,0,1,0.0011880410812785428,0.0010801489255863374,0.0011948181241610153,0.0010817683221570667,1,4,0.0,1e-05,1.0,0.99999,1.0,0.99999
