board,hand,meets_frozen_gap_threshold,bettor_seat,caller_seat,bettor_range_before_collision,caller_range_before_collision,bettor_joint_marginal,caller_joint_marginal,bettor_group,caller_group,full_check,compressed_check,full_bet_76,compressed_bet_76,full_call_facing_76,compressed_call_facing_76
Jd Jh 9h Ts 9c,2c 2d,1,1,5,0.0010897633985047037,9.992016378913245e-07,0.0009692302787292172,9.857446702781724e-07,11,0,1.0,1e-05,0.0,0.99999,1.0,0.04823760830274542
Jd Jh 9h Ts 9c,2c 2h,1,1,5,0.0010897633985047037,9.992016378913245e-07,0.0009692302787292172,9.857446702781724e-07,11,0,1.0,1e-05,0.0,0.99999,1.0,0.04823760830274542
Jd Jh 9h Ts 9c,2c 2s,1,1,5,0.0010897633985047037,9.992016378913245e-07,0.0009706825438180896,9.857446702781724e-07,11,0,1.0,1e-05,0.0,0.99999,1.0,0.04823760830274542
Jd Jh 9h Ts 9c,2c 3c,1,1,5,0.0010897633985047037,0.0008554763071471827,0.001067484869702034,0.0008538463974680716,2,0,0.0,0.3852842663581179,1.0,0.614715733641882,0.0,0.04823760830274542
Jd Jh 9h Ts 9c,2c 3d,1,1,5,9.998960108148754e-07,9.992016378913245e-07,9.749913011877487e-07,9.959073383944774e-07,2,0,0.0,0.3852842663581179,1.0,0.614715733641882,0.0,0.04823760830274542
Jd Jh 9h Ts 9c,2c 3h,1,1,5,9.998960108148754e-07,9.992016378913245e-07,9.749913011877487e-07,9.961126215384798e-07,2,0,0.0,0.3852842663581179,1.0,0.614715733641882,0.0,0.04823760830274542
Jd Jh 9h Ts 9c,2c 3s,1,1,5,9.998960108148754e-07,9.992016378913245e-07,9.816400325759343e-07,9.959073383944774e-07,2,0,0.0,0.3852842663581179,1.0,0.614715733641882,0.0,0.04823760830274542
Jd Jh 9h Ts 9c,2c 4c,1,1,5,0.0010897633985047037,9.992016378913245e-07,0.0010726329396597539,9.939679830464847e-07,2,13,0.0,0.3852842663581179,1.0,0.614715733641882,0.0,5.180581853613921e-05
Jd Jh 9h Ts 9c,2c 4d,1,1,5,0.0003632544661682346,9.992016378913245e-07,0.00035674000805125457,9.943623479379887e-07,2,0,0.0,0.3852842663581179,1.0,0.614715733641882,0.0,0.04823760830274542
Jd Jh 9h Ts 9c,2c 4h,1,1,5,0.0003632544661682346,9.992016378913245e-07,0.00035674000805125457,9.93177076209469e-07,2,13,0.0,0.3852842663581179,1.0,0.614715733641882,0.0,5.180581853613921e-05
Jd Jh 9h Ts 9c,2c 4s,1,1,5,0.0003632544661682346,9.992016378913245e-07,0.000358257942520865,9.943623479379887e-07,2,0,1.0,0.3852842663581179,0.0,0.614715733641882,0.0,0.04823760830274542
Jd Jh 9h Ts 9c,2c 5c,1,1,5,0.0010897633985047037,9.992016378913245e-07,0.0008925030108180082,9.969856263348938e-07,7,0,1.0,1e-05,0.0,0.99999,1.0,0.04823760830274542
Jd Jh 9h Ts 9c,2c 5d,1,1,5,0.0010897633985047037,0.0262484417731335,0.0009210400582224702,0.026190228447512513,11,0,1.0,1e-05,0.0,0.99999,0.0,0.04823760830274542
Jd Jh 9h Ts 9c,2c 5h,1,1,5,0.0010897633985047037,0.0262484417731335,0.0009215054722789141,0.026190228447512513,11,0,1.0,1e-05,0.0,0.99999,0.0,0.04823760830274542
Jd Jh 9h Ts 9c,2c 5s,1,1,5,0.0010897633985047037,0.0262484417731335,0.0009232013994367348,0.026179868712800848,11,0,1.0,1e-05,0.0,0.99999,0.14897937418171056,0.04823760830274542
Jd Jh 9h Ts 9c,2c 6c,1,1,5,0.0010897633985047037,9.992016378913245e-07,0.0010552747629516497,9.899109450984388e-07,2,0,1.0,0.3852842663581179,0.0,0.614715733641882,0.0,0.04823760830274542
Jd Jh 9h Ts 9c,2c 6d,1,1,5,0.0010897633985047037,9.992016378913245e-07,0.0010516075004549312,9.887256733699192e-07,2,0,0.0,0.3852842663581179,1.0,0.614715733641882,0.0,0.04823760830274542
Jd Jh 9h Ts 9c,2c 6h,1,1,5,0.0010897633985047037,9.992016378913245e-07,0.0010509418144938906,9.899109450984388e-07,2,0,0.0,0.3852842663581179,1.0,0.614715733641882,0.0,0.04823760830274542
Jd Jh 9h Ts 9c,2c 6s,1,1,5,0.0010897633985047037,9.992016378913245e-07,0.0010543783522720003,9.887256733699192e-07,2,0,1.0,0.3852842663581179,0.0,0.614715733641882,0.0,0.04823760830274542
Jd Jh 9h Ts 9c,2c 7c,1,1,5,0.0010897633985047037,9.992016378913245e-07,0.0010682872950377525,9.810840526281556e-07,2,0,0.0,0.3852842663581179,1.0,0.614715733641882,0.0,0.04823760830274542
Jd Jh 9h Ts 9c,2c 7d,1,1,5,0.003029900423696399,9.992016378913245e-07,0.002980657918122078,9.839870706446388e-07,2,0,0.0,0.3852842663581179,1.0,0.614715733641882,0.0,0.04823760830274542
Jd Jh 9h Ts 9c,2c 7h,1,1,5,0.003029900423696399,9.992016378913245e-07,0.002980657918122078,9.831961638076234e-07,2,0,0.5656779384594641,0.3852842663581179,0.4343220615405359,0.614715733641882,0.0,0.04823760830274542
Jd Jh 9h Ts 9c,2c 7s,1,1,5,0.003029900423696399,9.992016378913245e-07,0.002970189797441977,9.839870706446388e-07,2,0,0.0,0.3852842663581179,1.0,0.614715733641882,0.0,0.04823760830274542
