arm,exploitability,gap,iterations,lower,score_seconds,training_seconds,upper,value
cfr_g4,0.054784970621485296,0.10956994124297059,16,-0.6028716499696685,0.0023000999935902655,0.02697539998916909,-0.4933017087266979,-0.5456787869960827
cfr_g4,0.006062672782743195,0.01212534556548639,64,-0.5229507361464558,0.002630899951327592,0.10518640000373125,-0.5108253905809694,-0.516456776062993
cfr_g4,0.0011279642346510022,0.0022559284693020043,256,-0.5198446580284412,0.002433300018310547,0.4146383000188507,-0.5175887295591391,-0.5185386670405483
cfr_g4,0.0001765871693593657,0.0003531743387187314,1024,-0.5187856341789996,0.0025015000137500465,1.6569402000168338,-0.5184324598402809,-0.5185839771635268
cfr_g4,4.933156705638764e-05,9.866313411277527e-05,2048,-0.5186429026273468,0.002993800037074834,3.4082657999824733,-0.518544239493234,-0.5185948361577043
dcfr_paper,0.026254991961270763,0.052509983922541525,16,-0.5490726575720823,0.0023259000154212117,0.02715209999587387,-0.4965626736495408,-0.52376592315312
dcfr_paper,0.001952515506399466,0.003905031012798932,64,-0.5203500672920595,0.0024204999790526927,0.10655260004568845,-0.5164450362792605,-0.5184862170002678
dcfr_paper,0.0002698237749692578,0.0005396475499385156,256,-0.5188511296294557,0.0023504000273533165,0.42658720002509654,-0.5183114820795172,-0.5186418627122964
dcfr_paper,1.924651009105327e-05,3.849302018210654e-05,1024,-0.5186101279984624,0.002370400005020201,1.6861726000206545,-0.5185716349782803,-0.5185939517763146
dcfr_paper,6.092616126107675e-06,1.218523225221535e-05,2048,-0.5185999888538294,0.0029684000182896852,3.4922740000183694,-0.5185878036215772,-0.5185925872478643
pdcfr_matched,0.08757018388399107,0.17514036776798214,16,-0.6046015940183083,0.0024773000041022897,0.02807639999082312,-0.4294612262503261,-0.5458207349900575
pdcfr_matched,0.006647681705105046,0.013295363410210093,64,-0.5243159811541309,0.0025560000212863088,0.11255609994987026,-0.5110206177439208,-0.5172960131759348
pdcfr_matched,0.0010911025899548177,0.0021822051799096354,256,-0.5198666387467672,0.0024815999786369503,0.4431143999681808,-0.5176844335668576,-0.5184849409927459
pdcfr_matched,0.00014077288380298647,0.00028154576760597294,1024,-0.5187360167089778,0.0025300999986939132,1.7573561999597587,-0.5184544709413719,-0.5185915853666022
pdcfr_matched,3.652249930574669e-05,7.304499861149338e-05,2048,-0.5186333851556963,0.0031414999975822866,3.6124774999916553,-0.5185603401570849,-0.5185953615363857
cfr_linear,0.06816981650019688,0.13633963300039376,16,-0.6301730789619677,0.003631599945947528,0.027591500023845583,-0.49383344596157397,-0.586621193116013
cfr_linear,0.010561874143572292,0.021123748287144584,64,-0.5296010847643682,0.0025231000036001205,0.10954170004697517,-0.5084773364772236,-0.5210359753479405
cfr_linear,0.0016784157812453349,0.0033568315624906697,256,-0.5203240160711801,0.002190199971664697,0.42250370007241145,-0.5169671845086894,-0.5183877035076487
cfr_linear,0.0002234998018570411,0.0004469996037140822,1024,-0.5187904558892088,0.0024462000001221895,1.706287300097756,-0.5183434562854947,-0.5185890001961095
cfr_linear,7.121627721423662e-05,0.00014243255442847325,2048,-0.5186643451711447,0.0024406000156886876,3.4678702000528574,-0.5185219126167162,-0.5185900908192236
dcfr_code,0.020479250932110116,0.04095850186422023,16,-0.5388320936592577,0.0023976999800652266,0.027264000033028424,-0.49787359179503743,-0.5232767326984837
dcfr_code,0.001596647398486084,0.003193294796972168,64,-0.5200395967702871,0.0023225999902933836,0.10702960006892681,-0.5168463019733149,-0.5185181015950193
dcfr_code,0.0001891835315351864,0.0003783670630703728,256,-0.5187400268314575,0.0027233000146225095,0.44169470004271716,-0.5183616597683871,-0.518617423681325
dcfr_code,1.0458052313422339e-05,2.0916104626844678e-05,1024,-0.5186039967504588,0.0023516000364907086,1.684719100012444,-0.5185830806458319,-0.5185917793675383
dcfr_code,3.50380039926268e-06,7.00760079852536e-06,2048,-0.5185963300277199,0.0029759000171907246,3.419045399990864,-0.5185893224269214,-0.5185929830583491
pdcfr_published,0.06030605494173058,0.12061210988346116,16,-0.5684173057748594,0.0023879000218585134,0.027387799986172467,-0.4478051958913982,-0.539137103061796
pdcfr_published,0.00573550023276459,0.01147100046552918,64,-0.5233491180131971,0.002438399998936802,0.10632799996528774,-0.5118781175476679,-0.5166509570225302
pdcfr_published,0.001274565815061024,0.002549131630122048,256,-0.519966447614366,0.0022706000017933547,0.41884519992163405,-0.5174173159842439,-0.5183873702206336
pdcfr_published,0.00020210535927162043,0.00040421071854324087,1024,-0.5187822743157539,0.0024849000037647784,1.66494609991787,-0.5183780635972106,-0.5186075494687779
pdcfr_published,7.321750344219113e-05,0.00014643500688438227,2048,-0.5186592434903604,0.0025623999536037445,3.4066702999407426,-0.518512808483476,-0.5185943380595085
